Open,Max,Min,Close,UP,Uprate,predict,amount,opinion,date
3397.52,3414.24,3391.45,3407.57,10.67,0.31,0.003850194,18376863000,1,20171026
3404.5,3421.1,3402.11,3416.81,9.24,0.27,0.005094513,17025717000,0,20171027
3413.87,3419.73,3357.28,3390.34,-26.47,-0.77,-0.000444224,20834929000,0,20171030
3381,3397.1,3376.12,3393.34,3,0.09,0.009191135,15349821000,0,20171031
3393.97,3410.35,3388.6,3395.91,2.57,0.08,0.001775699,18056613000,1,20171101
3391.65,3391.65,3372.21,3383.31,-12.6,-0.37,0.007019242,16686427000,1,20171102
3377.74,3380.57,3347.36,3371.74,-11.57,-0.34,0.001282962,17271479000,0,20171103
3369.69,3389.38,3356.53,3388.17,16.43,0.49,0.003440732,15463647000,1,20171106
3389.47,3415.15,3387.95,3413.57,25.4,0.75,0.009191217,19057175000,0,20171107
3409.15,3434.49,3404.88,3415.46,1.89,0.06,0.010053182,18543647000,0,20171108
3410.67,3428.77,3408.62,3427.79,12.33,0.36,0.004482612,15865043000,0,20171109
3423.18,3438.79,3414.33,3432.67,4.88,0.14,-0.004144376,18927650000,0,20171110
3435.18,3449.16,3435.08,3447.84,15.17,0.44,0.005456606,20538905000,0,20171113
3446.55,3450.49,3419.69,3429.55,-18.29,-0.53,0.003311906,19647267000,0,20171114
3416.21,3423.75,3396.38,3402.52,-27.03,-0.79,0.005296189,16879208000,0,20171115
3393.19,3409.65,3390.59,3399.25,-3.27,-0.1,-0.004227787,15668433000,0,20171116
3392.68,3403.29,3373.3,3382.91,-16.34,-0.48,-0.001215883,24945815000,1,20171117
3361.36,3393.11,3337.12,3392.4,9.49,0.28,0.006950937,17652468000,0,20171120
3382.36,3419.8,3377.6,3410.5,18.1,0.53,-0.001644267,19687180000,0,20171121
3417.33,3442.18,3404.29,3430.46,19.96,0.59,0.001679281,21356709000,1,20171122
3425.01,3429.42,3342.33,3351.92,-78.54,-2.29,0.003436543,21526539000,1,20171123
3340.38,3360.75,3328.33,3353.82,1.9,0.06,-0.002985636,15956966000,1,20171124
3346.66,3347.05,3315.26,3322.23,-31.59,-0.94,0.00773933,16643917000,0,20171127
3311.23,3333.8,3300.78,3333.66,11.43,0.34,0.00539179,13824780000,1,20171128
3335.57,3343.06,3305.57,3337.86,4.2,0.13,0.009750931,18380593000,1,20171129
3328.64,3340.92,3306.28,3317.19,-20.67,-0.62,0.009264207,15659585000,0,20171130
3315.11,3324.52,3302.44,3317.62,0.43,0.01,0.015555548,13919830000,0,20171201
3310.38,3324,3304.1,3309.62,-8,-0.24,0.000374291,14805329000,1,20171204
3301.69,3315.74,3300.51,3303.68,-5.94,-0.18,-0.000168812,20827886000,0,20171205
3291.31,3296.2,3254.61,3293.96,-9.72,-0.29,0.003132431,15160445000,0,20171206
3283.28,3291.28,3259.16,3272.05,-21.91,-0.67,-3.37E-05,13210590000,0,20171207
3264.48,3297.13,3258.76,3289.99,17.94,0.55,0.009928994,13320931400,1,20171208
3290.49,3322.67,3288.29,3322.2,32.21,0.98,-0.001202125,13196598400,1,20171211
3320.31,3320.31,3280.33,3280.81,-41.39,-1.25,-0.000686968,12460482700,0,20171212
3278.4,3304.01,3273.32,3303.04,22.23,0.68,0.001947343,11199864700,1,20171213
3302.93,3309.53,3282.57,3292.44,-10.6,-0.32,0.009888474,12054423500,1,20171214
3287.53,3287.53,3259.39,3266.14,-26.3,-0.8,0.003956014,13094061800,0,20171215
3268.03,3280.54,3254.18,3267.92,1.78,0.05,0.001810111,12070038900,1,20171218
3266.02,3296.94,3266.02,3296.54,28.62,0.88,-0.003427032,11514013400,0,20171219
3296.74,3300.21,3276.12,3287.61,-8.93,-0.27,-0.005074704,13774512000,0,20171220
3281.12,3309.22,3267.4,3300.06,12.45,0.38,0.000522479,14212793000,1,20171221
3297.69,3307.33,3293.44,3297.06,-3,-0.09,0.009484852,12404732600,0,20171222
3296.21,3312.3,3270.44,3280.46,-16.6,-0.5,0.004367866,14689364000,0,20171225
3277.84,3307.3,3274.33,3306.12,25.66,0.78,0.004723044,14243450000,1,20171226
3302.46,3307.08,3270.35,3275.78,-30.34,-0.92,0.002595631,16267489000,0,20171227
3272.29,3304.1,3263.73,3296.38,20.6,0.63,0.003794162,17537167000,0,20171228
3295.25,3308.22,3292.77,3307.17,10.79,0.33,0.011224528,14158684000,0,20171229
3314.03,3349.05,3314.03,3348.33,41.16,1.24,0.001658786,20227886000,1,20180102
3347.74,3379.92,3345.29,3369.11,20.78,0.62,0.009206651,21383615000,1,20180103
3371,3392.83,3365.3,3385.71,16.6,0.49,-0.001451001,20695529000,0,20180104
3386.46,3402.07,3380.25,3391.75,6.04,0.18,0.000439717,21306068000,0,20180105
3391.55,3412.73,3384.56,3409.48,17.73,0.52,0.015325563,23616511000,0,20180108
3406.11,3417.23,3403.59,3413.9,4.42,0.13,0.006720144,19148855000,0,20180109
3414.11,3430.21,3398.84,3421.83,7.93,0.23,0.004027452,20909500000,0,20180110
3415.59,3426.48,3405.64,3425.34,3.51,0.1,0.0104128,17381213000,0,20180111
3423.88,3435.42,3417.98,3428.94,3.6,0.11,0.003154362,17406340000,0,20180112
3428.95,3442.5,3402.31,3410.49,-18.45,-0.54,0.007530387,23200928000,1,20180115
3403.47,3437.58,3401.96,3436.59,26.1,0.77,0.008631425,21147547000,1,20180116
3438.58,3465.2,3430.51,3444.67,8.08,0.24,0.00607813,26104503000,0,20180117
3449.88,3476.55,3448.79,3474.75,30.08,0.87,0.00463677,22003956000,0,20180118
3481.62,3498.43,3474.29,3487.86,13.11,0.38,-0.002911068,24753673000,0,20180119
3476.99,3503.39,3475.67,3501.36,13.5,0.39,0.003618902,21748753000,0,20180122
3504.34,3547.22,3504.34,3546.5,45.14,1.29,-0.004395388,23870590000,0,20180123
3553.48,3569.49,3527.11,3559.47,12.97,0.37,0.005088625,25295450000,1,20180124
3555.17,3571.48,3528.03,3548.31,-11.16,-0.31,-0.003527617,24341342000,1,20180125
3535.49,3574.9,3534.2,3558.13,9.82,0.28,0.004829781,22269830000,1,20180126
3563.64,3587.03,3510.27,3523,-35.13,-0.99,0.007772427,23602697000,0,20180129
3511.5,3523.05,3484.66,3488.01,-34.99,-0.99,0.000420041,18636998000,1,20180130
3470.51,3495.45,3454.73,3480.83,-7.18,-0.21,0.004654508,20725340000,1,20180131
3478.67,3495.09,3424.42,3446.98,-33.85,-0.97,0.006296048,26050471000,0,20180201
3419.22,3463.16,3388.86,3462.08,15.1,0.44,0.001895269,20812055000,1,20180202
3411.67,3487.72,3406.24,3487.5,25.42,0.73,0.014126088,21767375000,1,20180205
3418.01,3440.12,3364.22,3370.65,-116.85,-3.35,-0.005912049,28055548000,0,20180206
3412.74,3425.54,3304.01,3309.26,-61.39,-1.82,-0.001866631,26093971000,1,20180207
3281.05,3307.16,3225.71,3262.05,-47.21,-1.43,-0.003491346,20126250000,1,20180208
3172.85,3180.11,3062.74,3129.85,-132.2,-4.05,0.000110965,25638918000,1,20180209
